?ConceptURI	?ConceptNaam	?Definitie
<https://data.rws.nl/def/otl/Ankergebied>	"Ankergebied"@nl	"Geografisch gebied dat is aangewezen door bevoegd gezag waar vaartuigen voor een bepaalde tijd voor anker kunnen gaan."@nl
<https://data.rws.nl/def/otl/Anode>	"Anode"@nl	"Pool of elektrode van een katrhodische bescherminstallatie aangebracht op het te beschermen stalen of met wapening voorziene betonnen oppervlak waar de elektronen uitkomen."@nl
<https://data.rws.nl/def/otl/Antenne>	"Antenne"@nl	"Metalen geleider die dient om radiofrequente signalen te ontvangen en/of te verzenden."@nl
<https://data.rws.nl/def/otl/Antivandalismevoorziening>	"Antivandalismevoorziening"@nl	"Een constructie dat het opzettelijk en/of moedwillig vernielen van fysieke objecten tegen gaat of (ver)hindert."@nl
<https://data.rws.nl/def/otl/Antiverblindingsscherm>	"Antiverblindingsscherm"@nl	"Een constructie aangebracht op middenberm, veelal uitgevoerd als een scherm, die verblinding van weggebruikers door tegenlicht voorkomt."@nl
<https://data.rws.nl/def/otl/Appendage>	"Appendage"@nl	"Toestel of installatiedeel ter completering van een machine of installatie. Bijvoorbeeld een klem of een ventiel."@nl
<https://data.rws.nl/def/otl/Aquaduct>	"Aquaduct"@nl	"Kunstwerk waarmee een watergang doormiddel van een bakvormige constructie over een (spoor)weg of terrein wordt geleid"@nl
<https://data.rws.nl/def/otl/Arm>	"Arm"@nl	"Gedeelte van een vangconstructie dat een vangkabel over een stuk water brengt om de kracht van een botsend vaartuig te absorberen"@nl
<https://data.rws.nl/def/otl/Armatuur>	"Armatuur"@nl	"Behuizing voor één of meer lichtbronnen inclusief alle elektronische componenten voor het juist richten en het beschermen van de lamp"@nl
<https://data.rws.nl/def/otl/Asbestemming>	"Asbestemming"@nl	"Ruimte waar as van de overledene kan worden bijgezet of uitgestrooid."@nl
<https://data.rws.nl/def/otl/Asfaltconstructie>	"Asfaltconstructie"@nl	"Gesloten verhardingsconstructie voor de krachtenoverbrenging van voertuigen aan de ondergrond bestaande uit meerdere cement- en bitumineuze lagen en evenutele wapening."@nl
<https://data.rws.nl/def/otl/Asfaltwapening>	"Asfaltwapening"@nl	"Wapening als versterking aangebracht in de verhardingsconstructie voor opname van eventuele trekkachten om voortijdige vermoeiing te reduceren."@nl
<https://data.rws.nl/def/otl/Askoppeling>	"Askoppeling"@nl	"Koppeling die twee assen verbindt"@nl
<https://data.rws.nl/def/otl/Assenstelsel>	"Assenstelsel"@nl	"Samenstel van assen gebruikt in een aandrijving- of bewegingswerk"@nl
<https://data.rws.nl/def/otl/Atletiekbaan>	"Atletiekbaan"@nl	"Sportveld ingericht voor het beoefenen van atletiek"@nl
<https://data.rws.nl/def/otl/Baanzool>	"Baanzool"@nl	"Loopvlak of grondvlak van een schietbaan tussen het schietpunt en de kogelvanger"@nl
<https://data.rws.nl/def/otl/BackstopHonkEnSoftbal>	"Backstop honk- en softbal"@nl	"Net gespannen op een frame van staanders en liggers achter de thuisplaat bij honkbal dat dient ter bescherming van de toeschouwers."@nl
<https://data.rws.nl/def/otl/Bad>	"Bad"@nl	"Waterreservoir waarin één of enkele personen kunnen baden"@nl
<https://data.rws.nl/def/otl/Bak>	"Bak"@nl	"Opslagplaats met een opening aan de bovenzijde om iets in te bewaren of in op te slaan. Bijvoorbeeld strooizout, gelekte olie of aarde."@nl
<https://data.rws.nl/def/otl/Baken>	"Baken"@nl	"Opstaand markeringsteken dat dient ter ondersteuning bij navigatie van scheepvaartverkeer"@nl
<https://data.rws.nl/def/otl/Balanspriem>	"Balanspriem"@nl	"Scharnierend onderdeel van een ophaalbrug met aan de voorzijde de hangstang en aan de achterzijde het contragewicht."@nl
<https://data.rws.nl/def/otl/Balg>	"Balg"@nl	"Installatiedeel voor het blazen en zuigen van lucht"@nl
<https://data.rws.nl/def/otl/Balk>	"Balk"@nl	"Dragend horizontaal constructiedeel waarbij de lengte vele malen langer is dan de breedte en de hoogte in doorsnede"@nl
<https://data.rws.nl/def/otl/Ballastweerstand>	"Ballastweerstand"@nl	"Weerstand die wordt gebruikt voor het kunstmatig belasten van statische of roterende noodstroomvoorzieningen."@nl
<https://data.rws.nl/def/otl/Ballenvanger>	"Ballenvanger"@nl	"Scherm dat dient ter bescherming van toeschouwers bij diverse balsporten."@nl
<https://data.rws.nl/def/otl/Ballon>	"Ballon"@nl	"Droge gashouder in de vorm van een ballon die wordt toegepast om vrijgekomen gas bij het slibvergistingsproces tijdelijk op te slaan"@nl
<https://data.rws.nl/def/otl/Bank>	"Bank"@nl	"Zitplaats voor verscheidene personen in de openbare ruimte"@nl
<https://data.rws.nl/def/otl/Banket>	"Banket"@nl	"Afwerking van een stroomprofiel in een put of buis dat ervoor zorgt dat vuil weer in het stroomprofiel komt"@nl
<https://data.rws.nl/def/otl/Basculekelder>	"Basculekelder"@nl	"Ruimte van een basculebrug waarin het staartstuk met het contragewicht kan draaien tijdens het openen van de brug."@nl
<https://data.rws.nl/def/otl/Basketbalpaal>	"Basketbalpaal"@nl	"Sportattribuut dat bestaat uit een paal, ring en netje voor het spelen van basketbal."@nl
<https://data.rws.nl/def/otl/Basketbalveld>	"Basketbalveld"@nl	"Sportveld voor het spelen van basketbal met aan beide zijden een paal waaraan een ring met een netje (de basket) is vastgemaakt"@nl
<https://data.rws.nl/def/otl/Beachvolleyveld>	"Beachvolleyveld"@nl	"Sportveld dat bestaat uit zand voor het spelen van beachvolleybal en voorzien is van een volleybalnet"@nl
<https://data.rws.nl/def/otl/BebordingEnBewegwijzeringStatisch>	"Bebording en bewegwijzering (statisch)"@nl	"Visueel hulpmiddel dat op, langs of boven de verharding is aangebracht om het verkeer te leiden, regelen, informeren en waarschuwen en de weggebruiker te helpen bij het bepalen van zijn route"@nl
<https://data.rws.nl/def/otl/BedieningsEnBesturingsinstallatie>	"Bedienings- en besturingsinstallatie"@nl	"Het samenstel van automatiseringsystemen en bedieningsorganen waarmee installaties worden bewaakt, bediend en bestuurd."@nl
<https://data.rws.nl/def/otl/Bedieningspaneel>	"Bedieningspaneel"@nl	"Paneel waarmee een bedienaar een installatie (lokaal) kan bedienen"@nl
<https://data.rws.nl/def/otl/Beeindigingsprofiel>	"Beëindigingsprofiel"@nl	"Profiel dat wordt geplaatst aan het uiteinde van een constructie of constructiedeel om de randen te beschermen tegen hoge plaatselijke spanningen en geconcentreerde belastingen zoals bijvoorbeeld aanrijdbelasting of stootbelasting"@nl
<https://data.rws.nl/def/otl/Beek>	"Beek"@nl	"Natuurlijke, smalle en ondiepe waterloop zonder getij die vanuit een bron stroomafwaarts vloeit."@nl
<https://data.rws.nl/def/otl/Beglazing>	"Beglazing"@nl	"Geheel dat wordt gevormd door alles wat te maken heeft met de bevestiging van glas. Hiertoe behoren de sponning, ruiten en bevestigings- en afdichtingsmaterialen"@nl
<https://data.rws.nl/def/otl/Begraafplaats>	"Begraafplaats"@nl	"Besloten gebied waar resten van overledenen worden begraven, bijgezet of verstrooid. Hierbij horen tevens ondersteunende faciliteiten zoals tuinen of parkeerterreinen."@nl
