?ConceptURI	?ConceptNaam	?Definitie
<https://data.rws.nl/def/otl/CameraBeweegbaar>	"Camera (beweegbaar)"@nl	"Camera uitgerust met een variabele orientatie en beeldvergroting."@nl
<https://data.rws.nl/def/otl/CameraVast>	"Camera (vast)"@nl	"Camera uitgerust met een vaste orientatie en beeldvergroting."@nl
<https://data.rws.nl/def/otl/Centrale>	"Centrale"@nl	"Installatie die verbindingen realiseert in een communicatiesysteem"@nl
<https://data.rws.nl/def/otl/CentraleAntenneInstallatie>	"Centrale Antenne Installatie (CAI)"@nl	"Installatie waarmee elektromagnetische/akoestische signalen kunnen worden ontvangen en/of uitgezonden."@nl
<https://data.rws.nl/def/otl/CentraleDeurontgrendeling>	"Centrale-deurontgrendeling"@nl	"Installatie die vanaf één punt alle sloten van deuren, volgens een bepaald protocol, kan ongrendelen en vergrendelen."@nl
<https://data.rws.nl/def/otl/Centrifuge>	"Centrifuge"@nl	"Installatiedeel dat, gebruikmakend van middelpuntvliedende kracht (centrifugale kracht), stoffen van elkaar scheidt"@nl
<https://data.rws.nl/def/otl/Cilinder>	"Cilinder"@nl	"Samenstel van werktuigbouwkundige componenten dat een plunjerstang kan laten bewegen"@nl
<https://data.rws.nl/def/otl/ClosedCircuitTelevisionInstallatie>	"Closed Circuit TeleVision installatie (CCTV)"@nl	"Installatie waarmee een bepaald gebied van een afstand visueel kan worden geobserveerd en opgeslagen."@nl
<https://data.rws.nl/def/otl/CoaxstralersTunnelbekabeling>	"Coaxstralers (tunnelbekabeling)"@nl	"Stralende kabel voor het uitzenden van sigalen in de tunnel."@nl
<https://data.rws.nl/def/otl/ColumbariumUrnenmuur>	"Columbarium (urnenmuur)"@nl	"Muur met nissen bestemd voor asurnen, een bewaarplaats voor het as van stoffelijke overschotten van mensen"@nl
<https://data.rws.nl/def/otl/Combinatietoestel>	"Combinatietoestel"@nl	"Speeltoestel wat is opgebouwd uit meerdere aaneengesloten speeltoestellen voor vermaak en ontspanning van kinderen ."@nl
<https://data.rws.nl/def/otl/Combiwand>	"Combiwand"@nl	"Damwand bestaand uit een combinatie van stalen damwandplanken en stalen buispalen."@nl
<https://data.rws.nl/def/otl/Compensator>	"Compensator"@nl	"Flexibel spanningsontlastend verbindingsstuk dat in leidingen en aansluitingen met installatiedelen wordt toegepast"@nl
<https://data.rws.nl/def/otl/Compressor>	"Compressor"@nl	"Apparaat waarin gassen worden samengeperst om kracht te ontwikkelen"@nl
<https://data.rws.nl/def/otl/Compressorinstallatie>	"Compressorinstallatie"@nl	"Installatie die gassen samen perst en onder hogere druk beschikbaar stelt"@nl
<https://data.rws.nl/def/otl/Connector>	"Connector"@nl	"Een los te maken verbinding tussen twee of meer aders."@nl
<https://data.rws.nl/def/otl/Console>	"Console"@nl	"Uitkragend constructiedeel aan een constructie zoals een kolom of een wand dat als steun dient voor de oplegging van een ander constructieonderdeel zoals een mast, ligger of plaat"@nl
<https://data.rws.nl/def/otl/Contragewicht>	"Contragewicht"@nl	"Onderdeel van een beweegbare brug dat dient als tegenwicht voor het val."@nl
<https://data.rws.nl/def/otl/Coupure>	"Coupure"@nl	"Onderbreking in een waterkering veelal voor de doorvoer van een weg of spoorweg, die bij hoogwater afsluitbaar is"@nl
<https://data.rws.nl/def/otl/Dak>	"Dak"@nl	"Uitwendige scheidingsconstructie met een overwegend horizontaal karakter"@nl
<https://data.rws.nl/def/otl/Dakafwerking>	"Dakafwerking"@nl	"Geheel van beschermende en decoratieve middelen die mogelijk gebruikt kunnen worden voor de afwerking van het dak"@nl
<https://data.rws.nl/def/otl/Dakconstructie>	"Dakconstructie"@nl	"Samenstel van bouwdelen zoals het dak zelf, de dakafwerking en een luik die gezamenlijk de constructie van het dak vormen"@nl
<https://data.rws.nl/def/otl/Dam>	"Dam"@nl	"Dwars op het water opgeworpen waterbouwkundige constructie om water te keren, te beheersen, te leiden of te verdelen."@nl
<https://data.rws.nl/def/otl/Damwand>	"Damwand"@nl	"Grond- en/ of waterkerende constructie bestaande uit verticale losse en in de grond aangebrachte elementen die met elkaar zijn verbonden."@nl
<https://data.rws.nl/def/otl/DamwandBovenwatertalud>	"Damwand (bovenwatertalud)"@nl	"Verticale losse elementen die met elkaar zijn verbonden en waterkerende eigenschappen heeft voor een bovenwatertalud"@nl
<https://data.rws.nl/def/otl/DamwandOnderwatertalud>	"Damwand (onderwatertalud)"@nl	"Verticale losse elementen die met elkaar zijn verbonden en waterkerende eigenschappen heeft voor een onderwatertalud"@nl
<https://data.rws.nl/def/otl/Dataloginstallatie>	"Dataloginstallatie"@nl	"Installatie voor automatische of handmatige registratie en opslag van data uit een besturingssysteem, telefoon-, marifoon of intercomgesprek zodat deze later geraadpleegt kan worden."@nl
<https://data.rws.nl/def/otl/Dek>	"Dek"@nl	"Constructie ter afdekking, bedekking van een stuk grond of een bouwwerk."@nl
<https://data.rws.nl/def/otl/DeklaagDicht>	"Deklaag (dicht)"@nl	"Bovenste, dichte laag asfalt van een weg waar het verkeer overheen rijdt"@nl
<https://data.rws.nl/def/otl/DeklaagOpen>	"Deklaag (open)"@nl	"Bovenste, open of poreuze laag asfalt van een weg waar het verkeer overheen rijdt"@nl
<https://data.rws.nl/def/otl/Deksel>	"Deksel"@nl	"Constructiedeel dat een toegangsmogelijkheid afsluit of afdekt"@nl
<https://data.rws.nl/def/otl/Dekzerkprofiel>	"Dekzerkprofiel"@nl	"Metalen in beton gestorte hoekbescherming"@nl
<https://data.rws.nl/def/otl/Detectielus>	"Detectielus"@nl	"Luskabel aangebracht in het wegdek voor het detecteren van voertuigen"@nl
<https://data.rws.nl/def/otl/Detector>	"Detector"@nl	"Meetinstrument waarmee een voorwerp of een bepaalde toestand in een bepaalde omgeving kan worden aangetoond"@nl
<https://data.rws.nl/def/otl/Deur>	"Deur"@nl	"Beweegbaar constructiedeel voor het voorzien in, en het blokkeren van een doorgang."@nl
<https://data.rws.nl/def/otl/Deurgeleiding>	"Deurgeleiding"@nl	"Constructie of mechanisme die een deur in een kunstwerk geleidt tijdens openen of sluiten."@nl
<https://data.rws.nl/def/otl/Deurrails>	"Deurrails"@nl	"Deurgeleiding in de vorm van een rail"@nl
<https://data.rws.nl/def/otl/Deuvel>	"Deuvel"@nl	"Penvormig verbindingselement met een inkeping dat dient om krachten over te brengen"@nl
<https://data.rws.nl/def/otl/DiagonaalVakwerkligger>	"Diagonaal (vakwerkligger)"@nl	"Diagonale balk of een profiel in een vakwerk om de stijfheid te vergroten."@nl
<https://data.rws.nl/def/otl/Dieptefiltratie>	"Dieptefiltratie"@nl	"Installatiedeel ten behoeve van een behandelingsproces waarbij het hele filterbed wordt gebruikt om niet-oplosbare deeltjes uit hydraulie olie te filteren."@nl
<https://data.rws.nl/def/otl/Diepwand>	"Diepwand"@nl	"Een grondkerende constructie gefabriceerd door in een diepe, nauwe sleuf beton te storten."@nl
<https://data.rws.nl/def/otl/Dijk>	"Dijk"@nl	"Aangelegd grondlichaam dat het land beschermt tegen overstroming"@nl
<https://data.rws.nl/def/otl/Dilatatievoeg>	"Dilatatievoeg"@nl	"Elastische opvulling van de dilitatievoegovergang om krimp en uitzet op te vangen en vuil en vocht te weren."@nl
<https://data.rws.nl/def/otl/Dilatatievoegovergang>	"Dilatatievoegovergang"@nl	"Kleine ruimte tussen constructies en bouwdelen voor het opvangen van krimp en uitzet"@nl
<https://data.rws.nl/def/otl/Display>	"Display"@nl	"Elektronisch apparaat waarop beelden worden weergegeven."@nl
<https://data.rws.nl/def/otl/Doel>	"Doel"@nl	"Fysieke structuur of het gebied waar een score gemaakt moet worden tijdens een sport."@nl
<https://data.rws.nl/def/otl/Doelvoorstellingsapparatuur>	"Doelvoorstellingsapparatuur"@nl	"Installatie die doelen vertoont in het gebied waar op geschoten wordt tijdens schietoefeningen"@nl
<https://data.rws.nl/def/otl/DoorgangGrondlichaam>	"Doorgang grondlichaam"@nl	"Opening in een grondlichaam waar men doorheen kan"@nl
<https://data.rws.nl/def/otl/Doorlaatkoker>	"Doorlaatkoker"@nl	"Kokervormige constructie waarmee water door een scheidingsconstructie kan worden gelaten."@nl
<https://data.rws.nl/def/otl/Douche>	"Douche"@nl	"Sanitair toestel, vaak inclusief ruimte, met regelbaar punt waaruit water wordt gespoten om jezelf te wassen."@nl
<https://data.rws.nl/def/otl/DraadGladPunt>	"Draad (glad/punt)"@nl	"Dubbele, in elkaar gedraaide metalen gladde draad, voorzien van twee korte in elkaar gedraaide spiralen metaaldraad met elk twee scherpe punten, die elke ± 10 cm om de dubbele draad zijn gedraaid, die als omrastering van een terrein dient"@nl
<https://data.rws.nl/def/otl/Draadstang>	"Draadstang"@nl	"Stang met schroefdraad dat als bevestigingsmiddel dient om de afstand tussen twee componenten te fixeren."@nl
<https://data.rws.nl/def/otl/Draaipoort>	"Draaipoort"@nl	"Ronddraaiend toegangshek, te roteren om een verticale as als afsluitbare doorgang in een muur of terreinafscheiding"@nl
<https://data.rws.nl/def/otl/Draaipunt>	"Draaipunt"@nl	"Vast punt waaromheen een constructie kan bewegen"@nl
<https://data.rws.nl/def/otl/Draaitoestel>	"Draaitoestel"@nl	"Speeltoestel dat bedoeld is voor meer dan één gebruikers en dat om een verticale as draait, zonder wankelbeweging"@nl
<https://data.rws.nl/def/otl/Drainage>	"Drainage"@nl	"Geheel van in de grond aangebrachte buisleidingen appendages voor het afvoeren van grondwater ter beheersing van de grondwaterstand"@nl
<https://data.rws.nl/def/otl/Drainagebuis>	"Drainagebuis"@nl	"Een in de grond aangebrachte poreuze of geperforeerde buis om afwatering te realiseren ten behoeve van de beheersing van de grondwaterstand"@nl
<https://data.rws.nl/def/otl/Drainmonding>	"Drainmonding"@nl	"Uiteinde van een drain, die uitmondt in zee of een andere waterstroom en grond/afval water vervoert."@nl
<https://data.rws.nl/def/otl/Drempel>	"Drempel"@nl	"Horizontale rand of verhoging die dient als afdichting of als overgang."@nl
<https://data.rws.nl/def/otl/Drijfbaken>	"Drijfbaken"@nl	"Drijvende markering om scheepvaart ter plaatse te informeren."@nl
<https://data.rws.nl/def/otl/Drijfkist>	"Drijfkist"@nl	"Onderdeel van een drijvende bolder dat ervoor zorgt dat de bolder tussen rails in de sluiswand omhoog en omlaag meebeweegt met het schip bij het schutten."@nl
<https://data.rws.nl/def/otl/DrijflaagAfvoerbak>	"Drijflaag afvoerbak"@nl	"Buitenste verdiepte ring van een bezinkbassin die dient voor het opvangen en transporteren van de drijflaag naar een afvoerput"@nl
<https://data.rws.nl/def/otl/Drijflaagruimer>	"Drijflaagruimer"@nl	"Met spanten aan de ruimerinstallatie bevestigd latvormig onderdeel dat boven de waterspiegel uitsteekt en door de roterende beweging van de ruimerinstalatie de drijflaag afvoert"@nl
<https://data.rws.nl/def/otl/Drijfraam>	"Drijfraam"@nl	"Drijvend bouwsel dat bestaat uit onderlinge verbonden balken en dient als geleidewerk."@nl
<https://data.rws.nl/def/otl/DrijvendeBolder>	"Drijvende bolder"@nl	"Aanlegpunt voor schepen dat drijft op het water."@nl
<https://data.rws.nl/def/otl/Drinkwaterinlaat>	"Drinkwaterinlaat"@nl	"Constructie die doormiddel van een opening de hoeveelheid water die voor consumptie geschikt is regelt en tot een watersysteem toelaat."@nl
<https://data.rws.nl/def/otl/DrogeHeide>	"Droge heide"@nl	"Heide met een open karakter en bestaand uit heidesoorten, grassen, kruidachtigen en mossen in wisselende samenstelling op de droge zandgronden."@nl
<https://data.rws.nl/def/otl/Droogzetvoorziening>	"Droogzetvoorziening"@nl	"Constructie bestaande uit schotten en kleppen voor het droogzetten (van delen) van objecten ter facilitering van inspecties en onderhoudsactiviteiten.&#13;De functie van een droogzetvoorziening is de in- en uitstroomopeningen af te dichten.. &#13;Droogzetvoorzieningen worden vooral gebruikt om een kelder of koker t.b.v. onderhoud of inspectie droog te kunnen zetten&#13;"@nl
<https://data.rws.nl/def/otl/Drukknoppaal>	"Drukknoppaal"@nl	"Korte, ongeveer één meter hoge paal, waar een drukknop op is bevestigd waarmee voetgangers en fietsers hun aanwezigheid melden aan een verkeerregelinstallatie."@nl
<https://data.rws.nl/def/otl/Drukluchtschuiminstallatie>	"Drukluchtschuiminstallatie (DLS)"@nl	"Brandblusinstallatie om branden te bestrijden of te voorkomen door met luchtdruk schuim te verspreiden."@nl
<https://data.rws.nl/def/otl/Drukpalen>	"Drukpalen"@nl	"Funderingspaal, die in de grond wordt gedreven in een dragende grondlaag."@nl
<https://data.rws.nl/def/otl/Drukvat>	"Drukvat"@nl	"Vat dat een medium bevat dat onder druk staat"@nl
<https://data.rws.nl/def/otl/Dugout>	"Dugout"@nl	"Overdekte ruimte aan de zijkant van een sportveld waar de trainer, (reserve)spelers en verzorgers kunnen zitten tijdens een wedstrijd."@nl
<https://data.rws.nl/def/otl/Duiker>	"Duiker"@nl	"Waterdoorgang onder een weg of dijk welke zorg draagt voor een wederzijdse verbinding van twee wateren of waterlopen."@nl
<https://data.rws.nl/def/otl/Duin>	"Duin"@nl	"Waterkerende aansluitende zandheuvel aan de kust die door de natuur opgeworpen is door wind of stromend water."@nl
<https://data.rws.nl/def/otl/Duingebied>	"Duingebied"@nl	"Gebieden of terreinen die bestaan uit aansluitende heuvels van fijn zand gelegen langs de kust of een rivier die gecreëerd zijn door de natuur en over waterkerende eigenschappen beschikken."@nl
<https://data.rws.nl/def/otl/Duinovergang>	"Duinovergang"@nl	"Terreindeel, zijnde een overgang tussen twee of meerdere aansluitende duinen langs de kust"@nl
<https://data.rws.nl/def/otl/Duinstruweel>	"Duinstruweel"@nl	"Vegetatie die gekarakteriseerd wordt door dicht struikgewas (minder dan 5 meter hoog) meestal niet gehinderd door menselijke invloeden; vaak gelegen in de duinen (zandheuvels langs de kust)"@nl
<https://data.rws.nl/def/otl/Duinvoetverdediging>	"Duinvoetverdediging"@nl	"Constructie die duinen tijdens een stormvloed beschermt."@nl
<https://data.rws.nl/def/otl/DuurzameEnergiebron>	"Duurzame energiebron"@nl	"Installatie welke hernieuwbare energie ontlenen aan oneindige natuurlijke bronnen"@nl
<https://data.rws.nl/def/otl/Dwarsdrager>	"Dwarsdrager"@nl	"Balk in een constructie die de hoofdliggers onderling verbindt om een gelijkmatiger overdracht van belastingen mogelijk te maken en de lengte van de langsliggers te kunnen beperken."@nl
<https://data.rws.nl/def/otl/DynamischeBewegwijzeringEnInformatieSystemen>	"Dynamische bewegwijzering en informatie systemen"@nl	"Installatie die de weggebruiker informeert over de beschikbaarheid van bepaalde routes door gebruik te maken van wisselende tekstregels en/of pictogrammen."@nl
<https://data.rws.nl/def/otl/Ecoduct>	"Ecoduct"@nl	"Vaste verbinding de vorm van een viaduct voor passages van dieren over een weg of spoorweg"@nl
<https://data.rws.nl/def/otl/EenEnTweejarigePerkplant>	"Eén- en tweejarige perkplant"@nl	"Eenjarige, tweejarige of overblijvende plant die wordt gebruikt voor tijdelijke tuinversiering, veelal in perken en bloembakken"@nl
<https://data.rws.nl/def/otl/ElektrischeAandrijving>	"Elektrische aandrijving"@nl	"Elektronische schakeling voor een geleidelijke, gecontroleerde start en stop van een installatiedeel waarbij het koppel behouden blijft"@nl
<https://data.rws.nl/def/otl/Elektromotor>	"Elektromotor"@nl	"Machine die elektromagnetische energie omzet in mechanische energie waarmee een werktuig kan worden aangedreven."@nl
<https://data.rws.nl/def/otl/Elektrovijzel>	"Elektrovijzel"@nl	"Elektrisch aangedreven werktuig om een beweging af te remmen of een last te heffen."@nl
<https://data.rws.nl/def/otl/Elementenverharding>	"Elementenverharding"@nl	"Open verharding bestaande uit geprefabriceerde of natuurlijk elementen"@nl
<https://data.rws.nl/def/otl/Energiekabel>	"Energiekabel"@nl	"Kabel bestemd voor het transport van elektriciteit."@nl
<https://data.rws.nl/def/otl/Erf>	"Erf"@nl	"Begrensd terrein dat toebehoort aan een gebouw."@nl
<https://data.rws.nl/def/otl/Evacuatieverlichting>	"Evacuatieverlichting"@nl	"Armatuur met lichtbron die in noodsituaties wordt gebruikt om mensen naar een (nood)uitgang te geleiden"@nl
<https://data.rws.nl/def/otl/Evenaar>	"Evenaar"@nl	"Installatiedeel dat ervoor zorgt dat een voorwerp tijdens het verplaatsen in balans blijft en dat krachten op het voorwerp goed verdeeld worden"@nl
<https://data.rws.nl/def/otl/Evenwichtstoestel>	"Evenwichtstoestel"@nl	"Speeltoestel waar de gebruiker alleen op of in kan bewegen door gebruik te maken van hand- en been/voetondersteuning, waarbij ten minste op twee punten contact met het toestel wordt vereist"@nl
<https://data.rws.nl/def/otl/ExtensiefGazon>	"Extensief gazon"@nl	"Gazon dat minder frequent gemaaid wordt."@nl
<https://data.rws.nl/def/otl/Fantasietoestel>	"Fantasietoestel"@nl	"Speeltoestel dat bedoeld is om een droombeeld te creëren"@nl
<https://data.rws.nl/def/otl/FaunaInsprong>	"Fauna-insprong"@nl	"Talud met schermen langs de weg aan de binnenzijde van het fauna kerende raster die ervoor zorgt dat dieren die aan de wegzijde van het raster terecht zijn gekomen terug kunnen springen naar het gebied achter het raster."@nl
<https://data.rws.nl/def/otl/FaunaUittreedplaats>	"Fauna uittreedplaats"@nl	"Constructie langs een steile of verticale oever van een waterweg, waar (te water geraakte) dieren aan land kunnen komen."@nl
<https://data.rws.nl/def/otl/Faunadekking>	"Faunadekking"@nl	"Plaats die beschutting biedt aan dieren bestaande uit begroeiing of natuurlijke vegetaties."@nl
<https://data.rws.nl/def/otl/Faunageleiding>	"Faunageleiding"@nl	"Constructie in de vorm van een raster, scherm of geleidewand, die wordt gebruikt om dieren naar een faunapassage te leiden om aanrijdingen te voorkomen en de verkeersveiligheid te verbeteren."@nl
<https://data.rws.nl/def/otl/Faunaopening>	"Faunaopening"@nl	"Opening in een constructiedeel waar dieren doorheen kunnen om in een ander gebied te komen"@nl
<https://data.rws.nl/def/otl/Faunaspiegel>	"Faunaspiegel"@nl	"Constructie langs de weg dat licht weerkaatst van naderende voertuigen om overstekend wild af te schrikken en zo de verkeersveiligheid te verbeteren."@nl
<https://data.rws.nl/def/otl/Faunatunnel>	"Faunatunnel"@nl	"Een tunnel onder een weg of spoorlijn door waar kleine tot middelgrote zoogdieren, reptielen, amfibieën en ongewervelden veilig doorheen kunnen."@nl
<https://data.rws.nl/def/otl/Faunawand>	"Faunawand"@nl	"Rechtopstaande constructie die dient als afscheiding en/ of ruimte voor nest- en schuilgelegenheid voor fauna."@nl
<https://data.rws.nl/def/otl/Filterconstructie>	"Filterconstructie"@nl	"Constructie die ervoor zorgt dat grotere deeltjes en het water van elkaar worden gescheiden."@nl
<https://data.rws.nl/def/otl/Filterdoek>	"Filterdoek"@nl	"Filter bestaand uit textiel dat vaste en/of vloeibare delen van elkaar scheidt"@nl
<https://data.rws.nl/def/otl/Filterhuis>	"Filterhuis"@nl	"Behuizing ter bescherming en het plaatsen van een filter"@nl
<https://data.rws.nl/def/otl/Filtervulling>	"Filtervulling"@nl	"Filtermedium wat zich in het filterhuis bevindt. Bijvoorbeeld lavastenen of actieve kool"@nl
<https://data.rws.nl/def/otl/Fitnesstoestel>	"Fitnesstoestel"@nl	"Apparaat waarmee de fitheid en/of gezondheid en/of conditionele voorwaarden van mensen worden verbeterd en/of onderhouden."@nl
<https://data.rws.nl/def/otl/Flens>	"Flens"@nl	"Platte rand aan het einde van een buis of koker die voor een verbinding zorgt met behulp van moeren en bouten"@nl
<https://data.rws.nl/def/otl/Folie>	"Folie"@nl	"Dun bladmetaal of kunststof dat wordt gebruikt voor het verpakken en isoleren van elektronische apparaten en voor de behandeling van oppervlakken"@nl
<https://data.rws.nl/def/otl/Folieconstructie>	"Folieconstructie"@nl	"Waterkerende constructie bestaande uit (meerdere lagen) folie en bevestigingen waarbinnen een verdiepte (weg)constructie kan worden aangelegd."@nl
<https://data.rws.nl/def/otl/Fontein>	"Fontein"@nl	"Installatie die voor de sier water omhoog spuit."@nl
<https://data.rws.nl/def/otl/Frame>	"Frame"@nl	"Constructieve basis in de vorm van een raamwerk waarop onderdelen gemonteerd kunnen worden."@nl
<https://data.rws.nl/def/otl/Fundatie>	"Fundatie"@nl	"Constructie die ervoor zorgt dat krachten worden overgedragen aan de draagkrachtige ondergrond."@nl
<https://data.rws.nl/def/otl/Fundering>	"Fundering"@nl	"Constructie om krachten te verdelen over de onderliggende grond of over te brengen naar een dieper gelegen draagkrachtige laag"@nl
<https://data.rws.nl/def/otl/FunderingslaagGebonden>	"Funderingslaag (gebonden)"@nl	"Relatief stijve en sterke fundering bestaande uit een laag hydraulisch of bitumineus, cement- of hydraulisch gebonden mineraal aggregaat"@nl
<https://data.rws.nl/def/otl/FunderingslaagOngebonden>	"Funderingslaag (ongebonden)"@nl	"Fundering bestaande uit een laag ongebonden mineraal aggregaat."@nl
<https://data.rws.nl/def/otl/Gaas>	"Gaas"@nl	"Grofmazig weefsel of vlechtwerk van (metaal)draad."@nl
<https://data.rws.nl/def/otl/Gaffel>	"Gaffel"@nl	"Gevorkt installatiedeel met een (scharnier)pen die in één vlak scharnierende onderdelen met elkaar verbindt"@nl
<https://data.rws.nl/def/otl/GasdetectieInstallatie>	"Gasdetectie-installatie (LEL)"@nl	"Installatie die de aanwezigheid van gas detecteert."@nl
<https://data.rws.nl/def/otl/Gasinstallatie>	"Gasinstallatie"@nl	"Installatie bestemd voor het distribueren van gas in een (infragebonden) gebouw"@nl
<https://data.rws.nl/def/otl/Gazon>	"Gazon"@nl	"Grasland dat frequent gemaaid wordt."@nl
<https://data.rws.nl/def/otl/Gedenksteen>	"Gedenksteen"@nl	"Steen die is aangebracht of opgericht ter nagedachtenis of herinnering aan één of meerdere perso(o)nen of een belangrijke/ historische gebeurtenis."@nl
<https://data.rws.nl/def/otl/Geiser>	"Geiser"@nl	"Toestel dat op het moment van consumptie doorstromend water verhit doormiddel van elektriciteit of verbranding van aardgas of stookolie"@nl
<https://data.rws.nl/def/otl/Geleidebarrier>	"Geleidebarriër"@nl	"Eenvoudig te plaatsen geleideconstructie, met een speciale profilering van het aanrijdingsoppervlak, gemaakt van beton, staal of hout voor het scheiden van rijbanen"@nl
<https://data.rws.nl/def/otl/Geleideconstructie>	"Geleideconstructie"@nl	"Bermbeveiligingsconstructie, evenwijdig aan de rijbaan, die zorgdraagt voor de fysieke geleiding van uit koers geraakte motorvoertuigen"@nl
<https://data.rws.nl/def/otl/GeleidendeBalk>	"Geleidende balk"@nl	"Balk die bewegende voorwerpen in de juiste richting geleidt om schade te voorkomen"@nl
<https://data.rws.nl/def/otl/Geleider>	"Geleider"@nl	"Installatiedeel dat in staat is elektriciteit te transporteren"@nl
<https://data.rws.nl/def/otl/Geleiderail>	"Geleiderail"@nl	"Een met de grond verbonden railvormige geleideconstructie."@nl
<https://data.rws.nl/def/otl/Geleidetoren>	"Geleidetoren"@nl	"Torenvormige constructie voor de huisvesting en bevestiging van technische installaties die zorgdragen voor de beweging van de waterkerende keringschuif"@nl
<https://data.rws.nl/def/otl/Geleidewerk>	"Geleidewerk"@nl	"Constructie in de vaarweg die dient om schepen af te remmen en te geleiden bij bruggen en sluizen."@nl
<https://data.rws.nl/def/otl/Geleiding>	"Geleiding"@nl	"Constructiedeel voor het geven van mechanische geleiding ten behoeve van een bewegend onderdeel voor een vooraf vastgestelde positionering."@nl
<https://data.rws.nl/def/otl/Gelijkrichter>	"Gelijkrichter"@nl	"Elektronisch apparaat dat wisselspanning omzet in gelijkspanning"@nl
<https://data.rws.nl/def/otl/GeluidbeperkendeConstructie>	"Geluidbeperkende constructie"@nl	"Constructie die geluidshinder langs de weg vermindert"@nl
<https://data.rws.nl/def/otl/Geluidsdemper>	"Geluidsdemper"@nl	"Installatiedeel met als doel het verminderen van geluidsdruk veroorzaakt door (roterende) mechanische installatiedelen"@nl
<https://data.rws.nl/def/otl/Gemaal>	"Gemaal"@nl	"Kunstwerk of installatie dat (afval) water transporteert door verpomping of op te schroeven."@nl
<https://data.rws.nl/def/otl/Generator>	"Generator"@nl	"Apparaat dat mechanische energie omzet in elektrische stroom"@nl
<https://data.rws.nl/def/otl/Geotextiel>	"Geotextiel"@nl	"Doordringbaar textiel dat in contact met grond en/ of andere materialen toegepast wordt in geotechnische en civieltechnische constructies"@nl
<https://data.rws.nl/def/otl/GeschorenHaag>	"Geschoren haag"@nl	"Haag, waarvan de hoogte en breedte door middel van knippen en scheren in stand gehouden worden"@nl
<https://data.rws.nl/def/otl/GeschorenHeestervak>	"Geschoren heestervak"@nl	"Grond met siervegetatie in de vorm van heesterebeplanting welke wordt bijgehouden in een bepaalde vorm"@nl
<https://data.rws.nl/def/otl/GestrekteOeverNatuurvriendelijk>	"Gestrekte oever (natuurvriendelijk)"@nl	"Deel van de oever dat ingericht is voor migratie van dieren tussen water en land."@nl
<https://data.rws.nl/def/otl/GestrekteOeverTalud>	"Gestrekte oever (talud)"@nl	"Schuin aflopende oever langs van een meer, kanaal of rivier die waterkerend is"@nl
<https://data.rws.nl/def/otl/Giek>	"Giek"@nl	"Een constructie die bedoeld is om lasten te verplaatsen en krachten te verdelen"@nl
<https://data.rws.nl/def/otl/Gistingstank>	"Gistingstank"@nl	"Tanks waarin slib onder anaërobe omstandigheden (zonder zuurstof) en een bepaalde temperatuur wordt bewaard zodat het organisch materiaal af wordt gebroken waardoor biogas ontstaat (vergisten) dat gebruikt wordt als hernieuwbare brandstof."@nl
<https://data.rws.nl/def/otl/Gladheidsmeldsysteem>	"Gladheidsmeldsysteem"@nl	"Een installatie die met behulp van sensoren in of naast de weg de variabelen zoals temperatuur en luchtvochtigheid opneemt en deze gegevens doorstuurd naar een centrale waar de kans op gladheid wordt bepaald."@nl
<https://data.rws.nl/def/otl/Glasvezelkabel>	"Glasvezelkabel"@nl	"Een kabel die bestaat uit één of meerdere optische vezels van glas, omhuld met een mantel, gebruikt voor digitale informatieoverdracht"@nl
<https://data.rws.nl/def/otl/Glasvezelput>	"Glasvezelput"@nl	"Put die toegang geeft tot het netwerk van glasvezelkabels."@nl
<https://data.rws.nl/def/otl/Glijbaan>	"Glijbaan"@nl	"Een speeltoestel met één of meer hellende oppervlakken waarbij de gebruiker over een vastgesteld glijtraject kan glijden"@nl
<https://data.rws.nl/def/otl/GlobalSystemForMobileCommunicationsInstallatie>	"Global System for Mobile communications installatie (GSM)"@nl	"Een installatie die opgebouwd is uit zenders, ontvangers, apparatuurkasten, al dan niet geplaatst op een mast bestemd voor mobiel telefoonverkeer. GSM staat Global System for Mobile Communications, en is een standaard voor digitale mobiele telefonie."@nl
<https://data.rws.nl/def/otl/Golfpijp>	"Golfpijp"@nl	"Metalen buis met rechthoekige doorsnede die wordt gebruikt om hoogfrequent elektromagnetische golven te transporten"@nl
<https://data.rws.nl/def/otl/Goot>	"Goot"@nl	"Constructie van een open buis of geul die (afval) water kan afvoeren."@nl
<https://data.rws.nl/def/otl/Gording>	"Gording"@nl	"Houten balk die horizontaal geplaatst is op planken of balken ter versteviging"@nl
<https://data.rws.nl/def/otl/Graf>	"Graf"@nl	"Plaats waar een lichaam of de restanten daarvan, na het overlijden worden geplaatst."@nl
<https://data.rws.nl/def/otl/Grafbeplanting>	"Grafbeplanting"@nl	"Beplanting op een graf"@nl
<https://data.rws.nl/def/otl/Grafsteen>	"Grafsteen"@nl	"Steen die de plaats markeert waar een graf ligt en hier om deze reden is geplaatst"@nl
<https://data.rws.nl/def/otl/Grasvegetatie>	"Grasvegetatie"@nl	"Ruimtelijke massa van planten-individuen, in samenhang met de plaats waar zij groeien en in de rangschikking die zij uit zichzelf (spontaan) hebben aangenomen die gedomineerd worden door grassen."@nl
<https://data.rws.nl/def/otl/Grendel>	"Grendel"@nl	"Een constructie om bewegende of losse delen te bevestigen, vast te zetten of te verbinden."@nl
